Iteration,Average_Value
1,476.85387534992486
2,476.85387534992486
3,476.85387534992486
4,476.85387534992486
5,476.85387534992486
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,394.090643888279
12,394.090643888279
13,394.090643888279
14,394.090643888279
15,394.090643888279
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,391.622614207303
22,391.622614207303
23,391.622614207303
24,391.622614207303
25,391.622614207303
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,383.4713126670186
32,383.4713126670186
33,383.4713126670186
34,383.4713126670186
35,383.4713126670186
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,384.70958401993136
42,384.70958401993136
43,384.70958401993136
44,384.70958401993136
45,384.70958401993136
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,369.098888950342
52,368.9789493929182
53,368.9789493929182
54,368.9789493929182
55,368.9789493929182
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,418.6998035717725
62,418.6998035717725
63,418.6998035717725
64,418.6998035717725
65,418.6998035717725
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,428.61592585798337
72,428.61592585798337
73,428.61592585798337
74,428.61592585798337
75,428.61592585798337
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,384.6911383560934
82,384.6911383560934
83,384.6911383560934
84,384.6911383560934
85,384.6911383560934
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,409.42362374617284
92,409.42362374617284
93,409.42362374617284
94,409.42362374617284
95,409.42362374617284
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,383.87230048300324
102,383.87230048300324
103,383.87230048300324
104,383.87230048300324
105,383.87230048300324
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,400.11052231096835
112,400.11052231096835
113,400.11052231096835
114,400.11052231096835
115,400.11052231096835
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,389.20520016849673
122,389.20520016849673
123,389.20520016849673
124,389.20520016849673
125,389.20520016849673
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,393.3226201962292
132,393.3226201962292
133,393.3226201962292
134,393.3226201962292
135,393.3226201962292
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,411.631309914468
142,411.631309914468
143,411.631309914468
144,411.631309914468
145,411.631309914468
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,406.62882138317826
152,406.4760371569441
153,406.4760371569441
154,406.4760371569441
155,406.4760371569441
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,404.9138577863353
162,404.6893493177858
163,404.6893493177858
164,404.6893493177858
165,404.6893493177858
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,377.91317562486097
172,376.64964979591383
173,376.64964979591383
174,376.64964979591383
175,376.64964979591383
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,387.3551698315998
182,381.3171367574818
183,381.3171367574818
184,381.3171367574818
185,381.3171367574818
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,373.76531113181414
192,534.0194189481341
193,534.0194189481341
194,534.0194189481341
195,534.0194189481341
196,534.0194189481341
197,0.0
198,0.0
199,0.0
200,0.0
