Value,Iteration,Seed,Scheduler
461.50137370533366,1,9,1D
461.50137370533366,2,9,1D
461.50137370533366,3,9,1D
461.50137370533366,4,9,1D
461.50137370533366,5,9,1D
0.0,6,9,1D
0.0,7,9,1D
0.0,8,9,1D
0.0,9,9,1D
0.0,10,9,1D
450.3455242230156,11,9,1D
450.3455242230156,12,9,1D
450.3455242230156,13,9,1D
450.3455242230156,14,9,1D
450.3455242230156,15,9,1D
0.0,16,9,1D
0.0,17,9,1D
0.0,18,9,1D
0.0,19,9,1D
0.0,20,9,1D
436.9724203753158,21,9,1D
436.9724203753158,22,9,1D
436.9724203753158,23,9,1D
436.9724203753158,24,9,1D
436.9724203753158,25,9,1D
0.0,26,9,1D
0.0,27,9,1D
0.0,28,9,1D
0.0,29,9,1D
0.0,30,9,1D
370.62370322553454,31,9,1D
370.62370322553454,32,9,1D
370.62370322553454,33,9,1D
370.62370322553454,34,9,1D
370.62370322553454,35,9,1D
0.0,36,9,1D
0.0,37,9,1D
0.0,38,9,1D
0.0,39,9,1D
0.0,40,9,1D
421.9402318773982,41,9,1D
421.9402318773982,42,9,1D
421.9402318773982,43,9,1D
421.9402318773982,44,9,1D
421.9402318773982,45,9,1D
0.0,46,9,1D
0.0,47,9,1D
0.0,48,9,1D
0.0,49,9,1D
0.0,50,9,1D
460.5380736947661,51,9,1D
460.5380736947661,52,9,1D
460.5380736947661,53,9,1D
460.5380736947661,54,9,1D
460.5380736947661,55,9,1D
0.0,56,9,1D
0.0,57,9,1D
0.0,58,9,1D
0.0,59,9,1D
0.0,60,9,1D
451.2006749984527,61,9,1D
451.2006749984527,62,9,1D
451.2006749984527,63,9,1D
451.2006749984527,64,9,1D
451.2006749984527,65,9,1D
0.0,66,9,1D
0.0,67,9,1D
0.0,68,9,1D
0.0,69,9,1D
0.0,70,9,1D
451.2415789171604,71,9,1D
451.2415789171604,72,9,1D
451.2415789171604,73,9,1D
451.2415789171604,74,9,1D
451.2415789171604,75,9,1D
0.0,76,9,1D
0.0,77,9,1D
0.0,78,9,1D
0.0,79,9,1D
0.0,80,9,1D
469.0737841282863,81,9,1D
469.0737841282863,82,9,1D
469.0737841282863,83,9,1D
469.0737841282863,84,9,1D
469.0737841282863,85,9,1D
0.0,86,9,1D
0.0,87,9,1D
0.0,88,9,1D
0.0,89,9,1D
0.0,90,9,1D
431.5184548699189,91,9,1D
431.5184548699189,92,9,1D
431.5184548699189,93,9,1D
431.5184548699189,94,9,1D
431.5184548699189,95,9,1D
0.0,96,9,1D
0.0,97,9,1D
0.0,98,9,1D
0.0,99,9,1D
0.0,100,9,1D
477.3651992671201,101,9,1D
477.3651992671201,102,9,1D
477.3651992671201,103,9,1D
477.3651992671201,104,9,1D
477.3651992671201,105,9,1D
0.0,106,9,1D
0.0,107,9,1D
0.0,108,9,1D
0.0,109,9,1D
0.0,110,9,1D
540.806159282273,111,9,1D
540.806159282273,112,9,1D
540.806159282273,113,9,1D
540.806159282273,114,9,1D
540.806159282273,115,9,1D
0.0,116,9,1D
0.0,117,9,1D
0.0,118,9,1D
0.0,119,9,1D
0.0,120,9,1D
431.2328778926851,121,9,1D
431.2328778926851,122,9,1D
431.2328778926851,123,9,1D
431.2328778926851,124,9,1D
431.2328778926851,125,9,1D
0.0,126,9,1D
0.0,127,9,1D
0.0,128,9,1D
0.0,129,9,1D
0.0,130,9,1D
212.35718745918516,131,9,1D
212.35718745918516,132,9,1D
212.35718745918516,133,9,1D
212.35718745918516,134,9,1D
212.35718745918516,135,9,1D
0.0,136,9,1D
0.0,137,9,1D
0.0,138,9,1D
0.0,139,9,1D
0.0,140,9,1D
343.9376861454349,141,9,1D
343.9376861454349,142,9,1D
343.9376861454349,143,9,1D
343.9376861454349,144,9,1D
343.9376861454349,145,9,1D
0.0,146,9,1D
0.0,147,9,1D
0.0,148,9,1D
0.0,149,9,1D
0.0,150,9,1D
367.1701084965845,151,9,1D
367.1701084965845,152,9,1D
367.1701084965845,153,9,1D
367.1701084965845,154,9,1D
367.1701084965845,155,9,1D
0.0,156,9,1D
0.0,157,9,1D
0.0,158,9,1D
0.0,159,9,1D
0.0,160,9,1D
352.08737209240564,161,9,1D
352.08737209240564,162,9,1D
352.08737209240564,163,9,1D
352.08737209240564,164,9,1D
352.08737209240564,165,9,1D
0.0,166,9,1D
0.0,167,9,1D
0.0,168,9,1D
0.0,169,9,1D
0.0,170,9,1D
452.9772279072731,171,9,1D
452.9772279072731,172,9,1D
452.9772279072731,173,9,1D
452.9772279072731,174,9,1D
452.9772279072731,175,9,1D
0.0,176,9,1D
0.0,177,9,1D
0.0,178,9,1D
0.0,179,9,1D
0.0,180,9,1D
434.5111239359532,181,9,1D
421.79776610705545,182,9,1D
421.79776610705545,183,9,1D
421.79776610705545,184,9,1D
421.79776610705545,185,9,1D
0.0,186,9,1D
0.0,187,9,1D
0.0,188,9,1D
0.0,189,9,1D
0.0,190,9,1D
329.3145096810821,191,9,1D
570.0329324078734,1,9,4D
570.0329324078734,2,9,4D
570.0329324078734,3,9,4D
570.0329324078734,4,9,4D
570.0329324078734,5,9,4D
0.0,6,9,4D
0.0,7,9,4D
0.0,8,9,4D
0.0,9,9,4D
0.0,10,9,4D
456.8906201202188,11,9,4D
456.8906201202188,12,9,4D
456.8906201202188,13,9,4D
456.8906201202188,14,9,4D
456.8906201202188,15,9,4D
0.0,16,9,4D
0.0,17,9,4D
0.0,18,9,4D
0.0,19,9,4D
0.0,20,9,4D
417.38744667105067,21,9,4D
417.38744667105067,22,9,4D
417.38744667105067,23,9,4D
417.38744667105067,24,9,4D
417.38744667105067,25,9,4D
0.0,26,9,4D
0.0,27,9,4D
0.0,28,9,4D
0.0,29,9,4D
0.0,30,9,4D
401.3316887523199,31,9,4D
401.3316887523199,32,9,4D
401.3316887523199,33,9,4D
401.3316887523199,34,9,4D
401.3316887523199,35,9,4D
0.0,36,9,4D
0.0,37,9,4D
0.0,38,9,4D
0.0,39,9,4D
0.0,40,9,4D
501.8802634651911,41,9,4D
501.8802634651911,42,9,4D
501.8802634651911,43,9,4D
501.8802634651911,44,9,4D
501.8802634651911,45,9,4D
0.0,46,9,4D
0.0,47,9,4D
0.0,48,9,4D
0.0,49,9,4D
0.0,50,9,4D
451.5732804497547,51,9,4D
451.5732804497547,52,9,4D
451.5732804497547,53,9,4D
451.5732804497547,54,9,4D
451.5732804497547,55,9,4D
0.0,56,9,4D
0.0,57,9,4D
0.0,58,9,4D
0.0,59,9,4D
0.0,60,9,4D
422.3245816462258,61,9,4D
422.3245816462258,62,9,4D
