Value,Iteration,Seed,Scheduler
0,1,0,1D
0,2,0,1D
0,3,0,1D
0,4,0,1D
0,5,0,1D
0,6,0,1D
0,7,0,1D
0,8,0,1D
0,9,0,1D
1587,10,0,1D
1587,11,0,1D
1587,12,0,1D
1587,13,0,1D
1587,14,0,1D
1072,15,0,1D
1072,16,0,1D
1072,17,0,1D
1072,18,0,1D
1072,19,0,1D
1592,20,0,1D
1592,21,0,1D
1592,22,0,1D
1592,23,0,1D
1592,24,0,1D
1072,25,0,1D
1072,26,0,1D
1072,27,0,1D
1072,28,0,1D
1072,29,0,1D
1460,30,0,1D
1460,31,0,1D
1460,32,0,1D
1460,33,0,1D
1460,34,0,1D
1072,35,0,1D
1072,36,0,1D
1072,37,0,1D
1072,38,0,1D
1072,39,0,1D
1537,40,0,1D
1537,41,0,1D
1537,42,0,1D
1537,43,0,1D
1537,44,0,1D
1072,45,0,1D
1072,46,0,1D
1072,47,0,1D
1072,48,0,1D
1072,49,0,1D
2197,50,0,1D
2197,51,0,1D
2197,52,0,1D
2197,53,0,1D
2197,54,0,1D
1474,55,0,1D
1474,56,0,1D
1474,57,0,1D
1474,58,0,1D
1474,59,0,1D
1854,60,0,1D
1854,61,0,1D
1854,62,0,1D
1854,63,0,1D
1854,64,0,1D
1474,65,0,1D
1474,66,0,1D
1474,67,0,1D
1474,68,0,1D
1474,69,0,1D
1894,70,0,1D
1894,71,0,1D
1894,72,0,1D
1894,73,0,1D
1894,74,0,1D
1474,75,0,1D
1474,76,0,1D
1474,77,0,1D
1474,78,0,1D
1474,79,0,1D
1970,80,0,1D
1970,81,0,1D
1970,82,0,1D
1970,83,0,1D
1970,84,0,1D
1474,85,0,1D
1474,86,0,1D
1474,87,0,1D
1474,88,0,1D
1474,89,0,1D
2027,90,0,1D
2027,91,0,1D
2027,92,0,1D
2027,93,0,1D
2027,94,0,1D
1474,95,0,1D
1474,96,0,1D
1474,97,0,1D
1474,98,0,1D
1474,99,0,1D
1783,100,0,1D
1783,101,0,1D
1783,102,0,1D
1783,103,0,1D
1783,104,0,1D
1474,105,0,1D
1474,106,0,1D
1474,107,0,1D
1474,108,0,1D
1474,109,0,1D
1995,110,0,1D
1995,111,0,1D
1995,112,0,1D
1995,113,0,1D
1995,114,0,1D
1474,115,0,1D
1474,116,0,1D
1474,117,0,1D
1474,118,0,1D
1474,119,0,1D
2005,120,0,1D
2005,121,0,1D
2005,122,0,1D
2005,123,0,1D
2005,124,0,1D
1474,125,0,1D
