Time_Step,Energy_Consumed
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1350
11,1350
12,1350
13,1350
14,1350
15,938
16,938
17,938
18,938
19,938
20,1782
21,1782
22,1782
23,1782
24,1782
25,1206
26,1206
27,1206
28,1206
29,1206
30,1686
31,1686
32,1686
33,1686
34,1686
35,1206
36,1206
37,1206
38,1206
39,1206
40,1950
41,1950
42,1950
43,1950
44,1950
45,1340
46,1340
47,1340
48,1340
49,1340
50,1899
51,1899
52,1899
53,1899
54,1899
55,1340
56,1340
57,1340
58,1340
59,1340
60,1733
61,1733
62,1733
63,1733
64,1733
65,1340
66,1340
67,1340
68,1340
69,1340
70,1763
71,1763
72,1763
73,1763
74,1763
75,1340
76,1340
77,1340
78,1340
79,1340
80,1748
81,1748
82,1748
83,1748
84,1748
85,1340
86,1340
87,1340
88,1340
89,1340
90,1773
91,1773
92,1773
93,1773
94,1773
95,1340
96,1340
97,1340
98,1340
99,1340
100,1753
101,1753
102,1753
103,1753
104,1753
105,1340
106,1340
107,1340
108,1340
109,1340
110,1878
111,1878
112,1878
113,1878
114,1878
115,1340
116,1340
117,1340
118,1340
119,1340
120,1909
121,1909
122,1909
123,1909
124,1909
125,1340
126,1340
127,1340
128,1340
129,1340
130,1868
131,1868
132,1868
133,1868
134,1868
135,1340
136,1340
137,1340
138,1340
139,1340
140,1780
141,1780
142,1780
143,1780
144,1780
145,1340
146,1340
147,1340
148,1340
149,1340
150,1830
151,1830
152,1830
153,1830
154,1830
155,1340
156,1340
157,1340
158,1340
159,1340
160,1755
161,1755
162,1755
163,1755
164,1755
165,1340
166,1340
167,1340
168,1340
169,1340
170,1792
171,1792
172,1792
173,1792
174,1792
175,1340
176,1340
177,1340
178,1340
179,1340
180,1821
181,1821
182,1821
183,1821
184,1821
185,1340
186,1340
187,1340
188,1340
189,1340
190,1708
191,1708
192,1708
193,1708
194,1708
195,1340
196,1340
197,1340
198,1340
199,1340
200,1740
