Time_Step,Energy_Consumed
1,750
2,1109
3,2008
4,2382
5,2742
6,2630
7,2595
8,2560
9,2454
10,2442
11,2426
12,2432
13,2238
14,2343
15,2422
16,2336
17,2330
18,2541
19,2588
20,2515
21,2575
22,2563
23,2394
24,2242
25,2307
26,2387
27,2486
28,2444
29,2444
30,2516
31,2420
32,2374
33,2418
34,2562
35,2435
36,2491
37,2394
38,2483
39,2472
40,2422
41,2322
42,2411
43,2325
44,2242
45,2196
46,2239
47,2289
48,2401
49,2456
50,2540
51,2497
52,2451
53,2579
54,2569
55,2485
56,2537
57,2535
58,2395
59,2343
60,2478
61,2482
62,2444
63,2340
64,2297
65,2162
66,2150
67,2156
68,2163
69,2212
70,2302
71,2258
72,2271
73,2267
74,2267
75,2268
76,2355
77,2326
78,2329
79,2414
80,2420
81,2333
82,2386
83,2583
84,2586
85,2525
86,2701
87,2658
88,2484
89,2391
90,2411
91,2324
92,2441
93,2369
94,2446
95,2390
96,2404
97,2262
98,2415
99,2433
100,2493
101,2487
102,2459
103,2394
104,2283
105,2360
106,2372
107,2416
108,2377
109,2456
110,2362
111,2280
112,2325
113,2320
114,2352
115,2396
116,2477
117,2548
118,2761
119,2672
120,2709
121,2747
122,2682
123,2616
124,2617
125,2544
126,2497
127,2539
128,2348
129,2357
130,2306
131,2207
132,2169
133,2257
134,2332
135,2422
136,2562
137,2553
138,2569
139,2500
140,2410
141,2342
142,2296
143,2245
144,2493
145,2629
146,2737
147,3086
148,3447
149,3174
150,3172
151,3207
152,3216
153,3195
154,3214
155,3126
156,3069
157,3025
158,2953
159,2893
160,2906
161,2844
162,2987
163,3076
164,3279
165,3269
166,3308
167,3201
168,3229
169,3135
170,3086
171,3129
172,3263
173,3139
174,3079
175,3079
176,2995
177,2779
178,2781
179,2785
180,2963
181,2922
182,3115
183,3111
184,3234
185,3201
186,3446
187,3331
188,3287
189,3240
190,3095
191,2874
192,2782
193,2877
194,2850
195,2850
196,2773
197,2837
198,2795
199,2771
200,2819
