Value,Iteration,Seed,Scheduler
3,1,0,1D
3,2,0,1D
10,3,0,1D
10,4,0,1D
11,5,0,1D
12,6,0,1D
13,7,0,1D
16,8,0,1D
19,9,0,1D
0,10,0,1D
4,11,0,1D
7,12,0,1D
8,13,0,1D
9,14,0,1D
11,15,0,1D
12,16,0,1D
14,17,0,1D
16,18,0,1D
17,19,0,1D
0,20,0,1D
3,21,0,1D
3,22,0,1D
4,23,0,1D
5,24,0,1D
6,25,0,1D
7,26,0,1D
9,27,0,1D
12,28,0,1D
13,29,0,1D
0,30,0,1D
1,31,0,1D
3,32,0,1D
5,33,0,1D
8,34,0,1D
11,35,0,1D
17,36,0,1D
18,37,0,1D
18,38,0,1D
18,39,0,1D
0,40,0,1D
3,41,0,1D
4,42,0,1D
6,43,0,1D
13,44,0,1D
14,45,0,1D
16,46,0,1D
18,47,0,1D
21,48,0,1D
23,49,0,1D
0,50,0,1D
1,51,0,1D
2,52,0,1D
3,53,0,1D
6,54,0,1D
8,55,0,1D
9,56,0,1D
11,57,0,1D
11,58,0,1D
12,59,0,1D
0,60,0,1D
1,61,0,1D
4,62,0,1D
4,63,0,1D
4,64,0,1D
5,65,0,1D
6,66,0,1D
8,67,0,1D
12,68,0,1D
15,69,0,1D
0,70,0,1D
0,71,0,1D
2,72,0,1D
4,73,0,1D
4,74,0,1D
6,75,0,1D
8,76,0,1D
10,77,0,1D
11,78,0,1D
14,79,0,1D
0,80,0,1D
3,81,0,1D
3,82,0,1D
4,83,0,1D
7,84,0,1D
9,85,0,1D
11,86,0,1D
15,87,0,1D
16,88,0,1D
21,89,0,1D
0,90,0,1D
2,91,0,1D
2,92,0,1D
6,93,0,1D
8,94,0,1D
9,95,0,1D
9,96,0,1D
11,97,0,1D
13,98,0,1D
14,99,0,1D
0,100,0,1D
2,101,0,1D
4,102,0,1D
7,103,0,1D
10,104,0,1D
12,105,0,1D
16,106,0,1D
21,107,0,1D
23,108,0,1D
23,109,0,1D
0,110,0,1D
1,111,0,1D
4,112,0,1D
9,113,0,1D
9,114,0,1D
10,115,0,1D
12,116,0,1D
13,117,0,1D
14,118,0,1D
17,119,0,1D
0,120,0,1D
1,121,0,1D
1,122,0,1D
5,123,0,1D
6,124,0,1D
9,125,0,1D
10,126,0,1D
10,127,0,1D
10,128,0,1D
12,129,0,1D
0,130,0,1D
3,131,0,1D
3,132,0,1D
5,133,0,1D
8,134,0,1D
9,135,0,1D
11,136,0,1D
14,137,0,1D
15,138,0,1D
17,139,0,1D
0,140,0,1D
1,141,0,1D
2,142,0,1D
3,143,0,1D
4,144,0,1D
11,145,0,1D
13,146,0,1D
17,147,0,1D
17,148,0,1D
18,149,0,1D
0,150,0,1D
3,151,0,1D
5,152,0,1D
9,153,0,1D
11,154,0,1D
12,155,0,1D
12,156,0,1D
15,157,0,1D
17,158,0,1D
18,159,0,1D
0,160,0,1D
1,161,0,1D
2,162,0,1D
4,163,0,1D
11,164,0,1D
15,165,0,1D
18,166,0,1D
19,167,0,1D
22,168,0,1D
26,169,0,1D
0,170,0,1D
1,171,0,1D
3,172,0,1D
5,173,0,1D
6,174,0,1D
8,175,0,1D
12,176,0,1D
14,177,0,1D
14,178,0,1D
14,179,0,1D
0,180,0,1D
1,181,0,1D
2,182,0,1D
2,183,0,1D
6,184,0,1D
6,185,0,1D
7,186,0,1D
9,187,0,1D
10,188,0,1D
11,189,0,1D
0,190,0,1D
1,191,0,1D
3,192,0,1D
6,193,0,1D
9,194,0,1D
12,195,0,1D
12,196,0,1D
14,197,0,1D
17,198,0,1D
20,199,0,1D
0,200,0,1D
3,1,0,4D
3,2,0,4D
10,3,0,4D
10,4,0,4D
11,5,0,4D
12,6,0,4D
13,7,0,4D
16,8,0,4D
19,9,0,4D
0,10,0,4D
4,11,0,4D
7,12,0,4D
8,13,0,4D
9,14,0,4D
11,15,0,4D
12,16,0,4D
14,17,0,4D
16,18,0,4D
17,19,0,4D
0,20,0,4D
3,21,0,4D
3,22,0,4D
4,23,0,4D
5,24,0,4D
6,25,0,4D
7,26,0,4D
9,27,0,4D
12,28,0,4D
13,29,0,4D
0,30,0,4D
1,31,0,4D
3,32,0,4D
5,33,0,4D
8,34,0,4D
11,35,0,4D
