Value,Iteration,Seed,Scheduler
0,1,9,1D
2,2,9,1D
3,3,9,1D
6,4,9,1D
10,5,9,1D
11,6,9,1D
15,7,9,1D
17,8,9,1D
19,9,9,1D
0,10,9,1D
0,11,9,1D
2,12,9,1D
5,13,9,1D
11,14,9,1D
12,15,9,1D
15,16,9,1D
16,17,9,1D
19,18,9,1D
19,19,9,1D
0,20,9,1D
1,21,9,1D
6,22,9,1D
6,23,9,1D
6,24,9,1D
8,25,9,1D
9,26,9,1D
13,27,9,1D
18,28,9,1D
21,29,9,1D
0,30,9,1D
3,31,9,1D
6,32,9,1D
11,33,9,1D
13,34,9,1D
15,35,9,1D
17,36,9,1D
18,37,9,1D
18,38,9,1D
21,39,9,1D
0,40,9,1D
3,41,9,1D
3,42,9,1D
5,43,9,1D
7,44,9,1D
9,45,9,1D
10,46,9,1D
13,47,9,1D
14,48,9,1D
15,49,9,1D
0,50,9,1D
5,51,9,1D
6,52,9,1D
9,53,9,1D
10,54,9,1D
13,55,9,1D
15,56,9,1D
17,57,9,1D
19,58,9,1D
20,59,9,1D
0,60,9,1D
1,61,9,1D
4,62,9,1D
6,63,9,1D
8,64,9,1D
12,65,9,1D
17,66,9,1D
21,67,9,1D
22,68,9,1D
23,69,9,1D
0,70,9,1D
2,71,9,1D
5,72,9,1D
6,73,9,1D
6,74,9,1D
8,75,9,1D
9,76,9,1D
11,77,9,1D
12,78,9,1D
14,79,9,1D
0,80,9,1D
1,81,9,1D
5,82,9,1D
7,83,9,1D
10,84,9,1D
13,85,9,1D
15,86,9,1D
22,87,9,1D
23,88,9,1D
25,89,9,1D
0,90,9,1D
1,91,9,1D
3,92,9,1D
7,93,9,1D
7,94,9,1D
10,95,9,1D
11,96,9,1D
13,97,9,1D
18,98,9,1D
19,99,9,1D
0,100,9,1D
1,101,9,1D
2,102,9,1D
3,103,9,1D
4,104,9,1D
6,105,9,1D
8,106,9,1D
11,107,9,1D
11,108,9,1D
14,109,9,1D
0,110,9,1D
2,111,9,1D
5,112,9,1D
14,113,9,1D
17,114,9,1D
18,115,9,1D
23,116,9,1D
27,117,9,1D
28,118,9,1D
31,119,9,1D
0,120,9,1D
2,121,9,1D
4,122,9,1D
4,123,9,1D
6,124,9,1D
8,125,9,1D
9,126,9,1D
13,127,9,1D
16,128,9,1D
18,129,9,1D
0,130,9,1D
0,131,9,1D
2,132,9,1D
5,133,9,1D
8,134,9,1D
9,135,9,1D
11,136,9,1D
13,137,9,1D
13,138,9,1D
13,139,9,1D
0,140,9,1D
5,141,9,1D
6,142,9,1D
7,143,9,1D
9,144,9,1D
11,145,9,1D
12,146,9,1D
13,147,9,1D
14,148,9,1D
19,149,9,1D
0,150,9,1D
3,151,9,1D
4,152,9,1D
5,153,9,1D
6,154,9,1D
7,155,9,1D
10,156,9,1D
13,157,9,1D
15,158,9,1D
18,159,9,1D
0,160,9,1D
2,161,9,1D
3,162,9,1D
5,163,9,1D
7,164,9,1D
9,165,9,1D
11,166,9,1D
15,167,9,1D
17,168,9,1D
19,169,9,1D
0,170,9,1D
3,171,9,1D
5,172,9,1D
7,173,9,1D
9,174,9,1D
11,175,9,1D
11,176,9,1D
12,177,9,1D
13,178,9,1D
16,179,9,1D
0,180,9,1D
1,181,9,1D
4,182,9,1D
8,183,9,1D
8,184,9,1D
14,185,9,1D
15,186,9,1D
17,187,9,1D
21,188,9,1D
21,189,9,1D
0,190,9,1D
4,191,9,1D
5,192,9,1D
6,193,9,1D
7,194,9,1D
9,195,9,1D
12,196,9,1D
15,197,9,1D
16,198,9,1D
17,199,9,1D
0,200,9,1D
0,1,9,4D
2,2,9,4D
3,3,9,4D
6,4,9,4D
10,5,9,4D
11,6,9,4D
15,7,9,4D
17,8,9,4D
19,9,9,4D
0,10,9,4D
0,11,9,4D
2,12,9,4D
5,13,9,4D
11,14,9,4D
12,15,9,4D
15,16,9,4D
16,17,9,4D
19,18,9,4D
19,19,9,4D
0,20,9,4D
1,21,9,4D
6,22,9,4D
6,23,9,4D
6,24,9,4D
8,25,9,4D
9,26,9,4D
13,27,9,4D
18,28,9,4D
21,29,9,4D
0,30,9,4D
3,31,9,4D
6,32,9,4D
11,33,9,4D
13,34,9,4D
15,35,9,4D
17,36,9,4D
18,37,9,4D
18,38,9,4D
21,39,9,4D
0,40,9,4D
3,41,9,4D
3,42,9,4D
5,43,9,4D
7,44,9,4D
9,45,9,4D
10,46,9,4D
13,47,9,4D
14,48,9,4D
15,49,9,4D
0,50,9,4D
5,51,9,4D
6,52,9,4D
9,53,9,4D
10,54,9,4D
13,55,9,4D
15,56,9,4D
17,57,9,4D
19,58,9,4D
20,59,9,4D
0,60,9,4D
1,61,9,4D
4,62,9,4D
6,63,9,4D
8,64,9,4D
12,65,9,4D
17,66,9,4D
21,67,9,4D
22,68,9,4D
23,69,9,4D
0,70,9,4D
2,71,9,4D
5,72,9,4D
6,73,9,4D
6,74,9,4D
8,75,9,4D
9,76,9,4D
11,77,9,4D
12,78,9,4D
14,79,9,4D
0,80,9,4D
1,81,9,4D
5,82,9,4D
7,83,9,4D
10,84,9,4D
13,85,9,4D
15,86,9,4D
22,87,9,4D
23,88,9,4D
25,89,9,4D
0,90,9,4D
1,91,9,4D
3,92,9,4D
7,93,9,4D
7,94,9,4D
10,95,9,4D
11,96,9,4D
13,97,9,4D
18,98,9,4D
19,99,9,4D
0,100,9,4D
1,101,9,4D
2,102,9,4D
3,103,9,4D
4,104,9,4D
6,105,9,4D
8,106,9,4D
11,107,9,4D
11,108,9,4D
14,109,9,4D
0,110,9,4D
2,111,9,4D
5,112,9,4D
14,113,9,4D
17,114,9,4D
18,115,9,4D
23,116,9,4D
27,117,9,4D
28,118,9,4D
31,119,9,4D
0,120,9,4D
2,121,9,4D
4,122,9,4D
4,123,9,4D
6,124,9,4D
8,125,9,4D
9,126,9,4D
13,127,9,4D
16,128,9,4D
18,129,9,4D
0,130,9,4D
0,131,9,4D
2,132,9,4D
5,133,9,4D
8,134,9,4D
9,135,9,4D
11,136,9,4D
13,137,9,4D
13,138,9,4D
13,139,9,4D
0,140,9,4D
5,141,9,4D
6,142,9,4D
7,143,9,4D
9,144,9,4D
11,145,9,4D
12,146,9,4D
13,147,9,4D
14,148,9,4D
19,149,9,4D
0,150,9,4D
3,151,9,4D
4,152,9,4D
5,153,9,4D
6,154,9,4D
7,155,9,4D
10,156,9,4D
13,157,9,4D
15,158,9,4D
18,159,9,4D
0,160,9,4D
2,161,9,4D
3,162,9,4D
5,163,9,4D
7,164,9,4D
9,165,9,4D
11,166,9,4D
15,167,9,4D
17,168,9,4D
19,169,9,4D
0,170,9,4D
3,171,9,4D
5,172,9,4D
7,173,9,4D
9,174,9,4D
11,175,9,4D
11,176,9,4D
12,177,9,4D
13,178,9,4D
16,179,9,4D
0,180,9,4D
1,181,9,4D
4,182,9,4D
8,183,9,4D
8,184,9,4D
14,185,9,4D
15,186,9,4D
17,187,9,4D
21,188,9,4D
21,189,9,4D
0,190,9,4D
4,191,9,4D
5,192,9,4D
6,193,9,4D
7,194,9,4D
9,195,9,4D
12,196,9,4D
15,197,9,4D
16,198,9,4D
17,199,9,4D
0,200,9,4D
0,1,9,Defult
0,2,9,Defult
0,3,9,Defult
0,4,9,Defult
0,5,9,Defult
0,6,9,Defult
0,7,9,Defult
0,8,9,Defult
0,9,9,Defult
0,10,9,Defult
0,11,9,Defult
0,12,9,Defult
0,13,9,Defult
0,14,9,Defult
0,15,9,Defult
0,16,9,Defult
0,17,9,Defult
0,18,9,Defult
0,19,9,Defult
0,20,9,Defult
0,21,9,Defult
0,22,9,Defult
0,23,9,Defult
0,24,9,Defult
0,25,9,Defult
0,26,9,Defult
0,27,9,Defult
0,28,9,Defult
0,29,9,Defult
0,30,9,Defult
0,31,9,Defult
0,32,9,Defult
0,33,9,Defult
0,34,9,Defult
0,35,9,Defult
0,36,9,Defult
0,37,9,Defult
0,38,9,Defult
0,39,9,Defult
0,40,9,Defult
0,41,9,Defult
0,42,9,Defult
0,43,9,Defult
0,44,9,Defult
0,45,9,Defult
0,46,9,Defult
0,47,9,Defult
0,48,9,Defult
0,49,9,Defult
0,50,9,Defult
0,51,9,Defult
0,52,9,Defult
0,53,9,Defult
0,54,9,Defult
0,55,9,Defult
0,56,9,Defult
0,57,9,Defult
0,58,9,Defult
0,59,9,Defult
0,60,9,Defult
0,61,9,Defult
0,62,9,Defult
0,63,9,Defult
0,64,9,Defult
0,65,9,Defult
0,66,9,Defult
0,67,9,Defult
0,68,9,Defult
0,69,9,Defult
0,70,9,Defult
0,71,9,Defult
0,72,9,Defult
0,73,9,Defult
0,74,9,Defult
0,75,9,Defult
0,76,9,Defult
0,77,9,Defult
0,78,9,Defult
0,79,9,Defult
0,80,9,Defult
0,81,9,Defult
0,82,9,Defult
0,83,9,Defult
0,84,9,Defult
0,85,9,Defult
0,86,9,Defult
0,87,9,Defult
0,88,9,Defult
0,89,9,Defult
0,90,9,Defult
0,91,9,Defult
0,92,9,Defult
0,93,9,Defult
0,94,9,Defult
0,95,9,Defult
0,96,9,Defult
0,97,9,Defult
0,98,9,Defult
0,99,9,Defult
0,100,9,Defult
0,101,9,Defult
0,102,9,Defult
0,103,9,Defult
0,104,9,Defult
0,105,9,Defult
0,106,9,Defult
0,107,9,Defult
0,108,9,Defult
0,109,9,Defult
0,110,9,Defult
0,111,9,Defult
0,112,9,Defult
0,113,9,Defult
0,114,9,Defult
0,115,9,Defult
0,116,9,Defult
0,117,9,Defult
0,118,9,Defult
0,119,9,Defult
0,120,9,Defult
0,121,9,Defult
0,122,9,Defult
0,123,9,Defult
0,124,9,Defult
0,125,9,Defult
0,126,9,Defult
0,127,9,Defult
0,128,9,Defult
0,129,9,Defult
0,130,9,Defult
0,131,9,Defult
0,132,9,Defult
0,133,9,Defult
0,134,9,Defult
0,135,9,Defult
0,136,9,Defult
0,137,9,Defult
0,138,9,Defult
0,139,9,Defult
0,140,9,Defult
0,141,9,Defult
0,142,9,Defult
0,143,9,Defult
0,144,9,Defult
0,145,9,Defult
0,146,9,Defult
0,147,9,Defult
0,148,9,Defult
0,149,9,Defult
0,150,9,Defult
0,151,9,Defult
0,152,9,Defult
0,153,9,Defult
0,154,9,Defult
0,155,9,Defult
0,156,9,Defult
0,157,9,Defult
0,158,9,Defult
0,159,9,Defult
0,160,9,Defult
