Node,Pod,CPU,Memory,Disk,Network,Node_Energy_Consumed,Energy_Consumed,Seed,Scheduler
1,1,39.58,25.78,14.64,4.08,180.0,312388.0,0,batch_bin_packing__1D.py
1,2,39.27,17.13,35.24,0.29,180.0,312388.0,0,batch_bin_packing__1D.py
2,1,34.38,36.63,0.77,22.79,217.0,312388.0,0,batch_bin_packing__1D.py
2,2,33.37,9.22,17.07,24.42,217.0,312388.0,0,batch_bin_packing__1D.py
2,3,11.12,12.74,29.16,22.77,217.0,312388.0,0,batch_bin_packing__1D.py
3,1,31.56,33.21,33.72,16.59,203.0,312388.0,0,batch_bin_packing__1D.py
3,2,31.51,28.32,36.88,8.69,203.0,312388.0,0,batch_bin_packing__1D.py
3,3,7.37,9.49,7.34,30.19,203.0,312388.0,0,batch_bin_packing__1D.py
4,1,24.49,28.94,11.56,38.95,192.0,312388.0,0,batch_bin_packing__1D.py
4,2,23.4,38.7,38.46,26.01,192.0,312388.0,0,batch_bin_packing__1D.py
5,1,21.83,38.99,27.21,29.6,191.0,312388.0,0,batch_bin_packing__1D.py
5,2,21.69,14.24,39.5,0.55,191.0,312388.0,0,batch_bin_packing__1D.py
6,1,21.44,26.71,32.82,9.23,196.0,312388.0,0,batch_bin_packing__1D.py
6,2,20.24,18.64,35.62,1.13,196.0,312388.0,0,batch_bin_packing__1D.py
6,3,4.6,28.96,8.14,7.04,196.0,312388.0,0,batch_bin_packing__1D.py
7,1,18.56,27.36,21.53,22.9,180.0,312388.0,0,batch_bin_packing__1D.py
7,2,13.76,37.93,11.7,9.84,180.0,312388.0,0,batch_bin_packing__1D.py
8,1,13.04,28.33,15.71,1.17,204.0,312388.0,0,batch_bin_packing__1D.py
8,2,8.99,33.91,22.46,28.53,204.0,312388.0,0,batch_bin_packing__1D.py
9,1,4.58,21.61,25.28,38.24,177.0,312388.0,0,batch_bin_packing__1D.py
1,1,23.4,38.7,38.46,26.01,188.0,285559.0,0,batch_bin_packing__4D.py
1,2,21.83,38.99,27.21,29.6,188.0,285559.0,0,batch_bin_packing__4D.py
2,1,31.56,33.21,33.72,16.59,213.0,285559.0,0,batch_bin_packing__4D.py
2,2,31.51,28.32,36.88,8.69,213.0,285559.0,0,batch_bin_packing__4D.py
3,1,24.49,28.94,11.56,38.95,199.0,285559.0,0,batch_bin_packing__4D.py
3,2,34.38,36.63,0.77,22.79,199.0,285559.0,0,batch_bin_packing__4D.py
4,1,8.99,33.91,22.46,28.53,208.0,285559.0,0,batch_bin_packing__4D.py
4,2,39.27,17.13,35.24,0.29,208.0,285559.0,0,batch_bin_packing__4D.py
4,3,18.56,27.36,21.53,22.9,208.0,285559.0,0,batch_bin_packing__4D.py
5,1,21.44,26.71,32.82,9.23,208.0,285559.0,0,batch_bin_packing__4D.py
5,2,4.58,21.61,25.28,38.24,208.0,285559.0,0,batch_bin_packing__4D.py
5,3,39.58,25.78,14.64,4.08,208.0,285559.0,0,batch_bin_packing__4D.py
6,1,33.37,9.22,17.07,24.42,203.0,285559.0,0,batch_bin_packing__4D.py
6,2,21.69,14.24,39.5,0.55,203.0,285559.0,0,batch_bin_packing__4D.py
6,3,13.76,37.93,11.7,9.84,203.0,285559.0,0,batch_bin_packing__4D.py
6,4,7.37,9.49,7.34,30.19,203.0,285559.0,0,batch_bin_packing__4D.py
