Iteration,Average_Value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,423.20062807173224
11,423.20062807173224
12,423.20062807173224
13,423.20062807173224
14,423.20062807173224
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,405.08508197548906
21,405.08508197548906
22,405.08508197548906
23,405.08508197548906
24,405.08508197548906
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,395.01757096600534
31,395.01757096600534
32,395.01757096600534
33,395.01757096600534
34,395.01757096600534
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,384.135762810517
41,384.135762810517
42,384.135762810517
43,384.135762810517
44,384.135762810517
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,385.62618060036425
51,385.62618060036425
52,385.62618060036425
53,385.62618060036425
54,385.62618060036425
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,351.3149261540175
61,351.3149261540175
62,351.3149261540175
63,351.3149261540175
64,351.3149261540175
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,422.019693858773
71,422.019693858773
72,422.019693858773
73,422.019693858773
74,422.019693858773
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,428.90748964807136
81,428.90748964807136
82,428.90748964807136
83,428.90748964807136
84,428.90748964807136
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,387.9696009590926
91,387.9696009590926
92,387.9696009590926
93,387.9696009590926
94,387.9696009590926
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,419.99896679963507
101,419.99896679963507
102,419.99896679963507
103,419.99896679963507
104,419.99896679963507
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,385.1572972626769
111,385.1572972626769
112,385.1572972626769
113,385.1572972626769
114,385.1572972626769
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,404.983046671796
121,404.983046671796
122,404.983046671796
123,404.983046671796
124,404.983046671796
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,385.96753719666685
131,385.96753719666685
132,385.96753719666685
133,385.96753719666685
134,385.96753719666685
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,394.68000256350757
141,394.68000256350757
142,394.68000256350757
143,394.68000256350757
144,394.68000256350757
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,422.75522659093906
151,422.75522659093906
152,422.75522659093906
153,422.75522659093906
154,422.75522659093906
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,404.8317332322418
161,404.8317332322418
162,404.8317332322418
163,404.8317332322418
164,404.8317332322418
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,415.8579818571603
171,415.8579818571603
172,415.8579818571603
173,415.8579818571603
174,415.8579818571603
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,369.1276491522934
181,369.1276491522934
182,369.1276491522934
183,369.1276491522934
184,369.1276491522934
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,401.79522078770884
191,401.79522078770884
192,401.79522078770884
193,401.79522078770884
194,401.79522078770884
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,381.5641022870867
