Iteration,Average_Value
1,60504.8
2,60591.46666666667
3,60694.4
4,60769.03333333333
5,60870.166666666664
6,60844.7
7,60855.6
8,60864.166666666664
9,60894.2
10,60905.4
11,60914.9
12,60928.333333333336
13,60902.36666666667
14,60907.76666666667
15,60877.4
16,60897.53333333333
17,60876.86666666667
18,60896.26666666667
19,60868.7
20,60863.433333333334
21,60849.96666666667
22,60857.96666666667
23,60822.066666666666
24,60836.2
25,60857.666666666664
26,60861.46666666667
27,60861.7
28,60872.4
29,60874.433333333334
30,60869.333333333336
31,60861.7
32,60861.5
33,60877.96666666667
34,60863.6
35,60871.7
36,60885.433333333334
37,60869.96666666667
38,60856.1
39,60863.53333333333
40,60855.23333333333
41,60849.666666666664
42,60842.5
43,60853.0
44,60862.5
45,60848.933333333334
46,60830.73333333333
47,60853.666666666664
48,60859.666666666664
49,60832.8
50,60847.166666666664
51,60869.0
52,60835.7
53,60815.5
54,60839.066666666666
55,60821.13333333333
56,60808.1
57,60812.4
58,60832.566666666666
59,60807.666666666664
60,60819.0
61,60810.333333333336
62,60844.1
63,60841.03333333333
64,60860.4
65,60895.03333333333
66,60910.46666666667
67,60915.3
68,60916.7
69,60906.6
70,60886.7
71,60881.26666666667
72,60879.433333333334
73,60883.76666666667
74,60900.36666666667
75,60894.566666666666
76,60911.26666666667
77,60906.73333333333
78,60916.4
79,60928.63333333333
80,60923.96666666667
81,60921.46666666667
82,60911.5
83,60902.0
84,60866.8
85,60863.76666666667
86,60839.4
87,60848.03333333333
88,60825.03333333333
89,60853.13333333333
90,60849.26666666667
91,60858.86666666667
92,60862.0
93,60875.26666666667
94,60876.066666666666
95,60868.2
96,60882.13333333333
97,60861.96666666667
98,60871.8
99,60884.166666666664
100,60894.166666666664
101,60883.46666666667
102,60892.76666666667
103,60903.7
104,60877.46666666667
105,60894.1
106,60914.46666666667
107,60916.63333333333
108,60903.63333333333
109,60895.96666666667
110,60871.3
111,60854.03333333333
112,60848.2
113,60841.03333333333
114,60856.3
115,60875.433333333334
116,60868.5
117,60872.433333333334
118,60875.03333333333
119,60877.166666666664
120,60869.833333333336
121,60861.9
122,60862.0
123,60859.666666666664
124,60841.433333333334
125,60839.3
126,60826.6
127,60825.13333333333
128,60812.53333333333
129,60824.3
130,60850.6
131,60872.73333333333
132,60862.26666666667
133,60877.53333333333
134,60887.1
135,60862.7
136,60878.666666666664
137,60887.03333333333
138,60870.63333333333
139,60846.46666666667
140,60865.433333333334
141,60842.666666666664
142,60847.73333333333
143,60848.433333333334
144,60876.433333333334
145,60889.8
146,60882.333333333336
147,60879.13333333333
148,60906.23333333333
149,60916.333333333336
150,60896.53333333333
151,60931.7
152,60927.73333333333
153,60924.26666666667
154,60893.26666666667
155,60887.066666666666
156,60846.933333333334
157,60843.86666666667
158,60837.3
159,60831.433333333334
160,60836.73333333333
161,60850.46666666667
162,60870.23333333333
163,60859.666666666664
164,60883.36666666667
165,60864.9
166,60888.8
167,60880.433333333334
168,60911.333333333336
169,60894.1
170,60917.5
171,60922.96666666667
172,60917.2
173,60910.86666666667
174,60903.6
175,60865.73333333333
176,60842.23333333333
177,60822.4
178,60789.2
179,60785.4
180,60812.0
181,60806.03333333333
182,60824.63333333333
183,60840.7
184,60868.166666666664
185,60869.23333333333
186,60881.26666666667
187,60872.566666666666
188,60862.8
189,60842.666666666664
190,60854.3
191,60821.23333333333
192,60814.86666666667
193,60819.4
194,60837.566666666666
195,60837.566666666666
196,60870.933333333334
197,60883.1
198,60899.4
199,60879.9
200,60844.9
