Value,Iteration,Seed,Scheduler
0.0,1,16,1D
0.0,2,16,1D
0.0,3,16,1D
0.0,4,16,1D
0.0,5,16,1D
0.0,6,16,1D
0.0,7,16,1D
0.0,8,16,1D
0.0,9,16,1D
231.9665722942801,10,16,1D
231.9665722942801,11,16,1D
231.9665722942801,12,16,1D
231.9665722942801,13,16,1D
231.9665722942801,14,16,1D
0.0,15,16,1D
0.0,16,16,1D
0.0,17,16,1D
0.0,18,16,1D
0.0,19,16,1D
474.5280989580235,20,16,1D
474.5280989580235,21,16,1D
474.5280989580235,22,16,1D
474.5280989580235,23,16,1D
474.5280989580235,24,16,1D
0.0,25,16,1D
0.0,26,16,1D
0.0,27,16,1D
0.0,28,16,1D
0.0,29,16,1D
335.6889146162237,30,16,1D
335.6889146162237,31,16,1D
335.6889146162237,32,16,1D
335.6889146162237,33,16,1D
335.6889146162237,34,16,1D
0.0,35,16,1D
0.0,36,16,1D
0.0,37,16,1D
0.0,38,16,1D
0.0,39,16,1D
532.0020872744725,40,16,1D
532.0020872744725,41,16,1D
532.0020872744725,42,16,1D
532.0020872744725,43,16,1D
532.0020872744725,44,16,1D
0.0,45,16,1D
0.0,46,16,1D
0.0,47,16,1D
0.0,48,16,1D
0.0,49,16,1D
332.7719141336514,50,16,1D
332.7719141336514,51,16,1D
332.7719141336514,52,16,1D
332.7719141336514,53,16,1D
332.7719141336514,54,16,1D
0.0,55,16,1D
0.0,56,16,1D
0.0,57,16,1D
0.0,58,16,1D
0.0,59,16,1D
402.9167880378452,60,16,1D
402.9167880378452,61,16,1D
402.9167880378452,62,16,1D
402.9167880378452,63,16,1D
402.9167880378452,64,16,1D
0.0,65,16,1D
0.0,66,16,1D
0.0,67,16,1D
0.0,68,16,1D
0.0,69,16,1D
514.8356636489935,70,16,1D
514.8356636489935,71,16,1D
514.8356636489935,72,16,1D
514.8356636489935,73,16,1D
514.8356636489935,74,16,1D
0.0,75,16,1D
0.0,76,16,1D
0.0,77,16,1D
0.0,78,16,1D
0.0,79,16,1D
300.05413024345194,80,16,1D
300.05413024345194,81,16,1D
300.05413024345194,82,16,1D
300.05413024345194,83,16,1D
300.05413024345194,84,16,1D
0.0,85,16,1D
0.0,86,16,1D
0.0,87,16,1D
0.0,88,16,1D
0.0,89,16,1D
462.3732874788127,90,16,1D
462.3732874788127,91,16,1D
462.3732874788127,92,16,1D
462.3732874788127,93,16,1D
462.3732874788127,94,16,1D
0.0,95,16,1D
0.0,96,16,1D
0.0,97,16,1D
0.0,98,16,1D
0.0,99,16,1D
461.5568392256697,100,16,1D
461.5568392256697,101,16,1D
461.5568392256697,102,16,1D
461.5568392256697,103,16,1D
461.5568392256697,104,16,1D
0.0,105,16,1D
0.0,106,16,1D
0.0,107,16,1D
0.0,108,16,1D
0.0,109,16,1D
392.4202419524975,110,16,1D
392.4202419524975,111,16,1D
392.4202419524975,112,16,1D
392.4202419524975,113,16,1D
392.4202419524975,114,16,1D
0.0,115,16,1D
0.0,116,16,1D
0.0,117,16,1D
0.0,118,16,1D
0.0,119,16,1D
