CPU_Cores,CPU_Load,Memory_Usage,Disk_IO,Network_Bandwidth,Compute1_Watts,Compute3_Watts
1,0,0,0,0,168,152
1,0,0,0,20,170,154
1,0,0,0,40,170,155
1,0,0,0,60,173,153
1,0,0,0,80,171,154
1,0,0,0,90,170,153
1,0,0,20,0,168,153
1,0,0,20,20,169,151
1,0,0,20,40,170,153
1,0,0,20,60,172,154
1,0,0,20,80,169,161
1,0,0,20,90,170,154
1,0,0,40,0,172,153
1,0,0,40,20,170,154
1,0,0,40,40,172,155
1,0,0,40,60,171,152
1,0,0,40,80,172,151
1,0,0,40,90,170,151
1,0,0,60,0,170,154
1,0,0,60,20,171,154
1,0,0,60,40,172,160
1,0,0,60,60,168,154
1,0,0,60,80,168,153
1,0,0,60,90,170,152
1,0,0,80,0,171,151
1,0,0,80,20,171,153
1,0,0,80,40,171,154
1,0,0,80,60,171,154
1,0,0,80,80,171,153
1,0,0,80,90,172,160
1,0,0,90,0,172,161
1,0,0,90,20,171,152
1,0,0,90,40,169,154
1,0,0,90,60,172,152
1,0,0,90,80,172,152
1,0,0,90,90,172,154
1,0,20,0,0,174,156
1,0,20,0,20,177,154
1,0,20,0,40,178,153
1,0,20,0,60,175,157
1,0,20,0,80,176,160
1,0,20,0,90,177,153
1,0,20,20,0,178,152
1,0,20,20,20,175,152
1,0,20,20,40,177,154
1,0,20,20,60,176,154
1,0,20,20,80,184,153
1,0,20,20,90,176,154
1,0,20,40,0,186,153
1,0,20,40,20,188,152
1,0,20,40,40,182,151
1,0,20,40,60,180,162
1,0,20,40,80,176,154
1,0,20,40,90,177,155
1,0,20,60,0,177,156
1,0,20,60,20,176,157
1,0,20,60,40,178,154
1,0,20,60,60,174,154
1,0,20,60,80,177,154
1,0,20,60,90,175,152
1,0,20,80,0,176,156
1,0,20,80,20,177,159
1,0,20,80,40,176,153
1,0,20,80,60,173,154
1,0,20,80,80,178,156
1,0,20,80,90,178,153
1,0,20,90,0,177,156
1,0,20,90,20,178,155
1,0,20,90,40,176,155
1,0,20,90,60,176,156
1,0,20,90,80,176,154
1,0,20,90,90,176,155
1,0,40,0,0,179,153
1,0,40,0,20,179,153
1,0,40,0,40,176,154
1,0,40,0,60,180,152
1,0,40,0,80,178,152
1,0,40,0,90,178,152
1,0,40,20,0,180,158
1,0,40,20,20,180,156
1,0,40,20,40,176,150
1,0,40,20,60,183,159
1,0,40,20,80,178,153
1,0,40,20,90,180,154
1,0,40,40,0,179,155
1,0,40,40,20,181,152
1,0,40,40,40,181,154
1,0,40,40,60,191,154
1,0,40,40,80,189,152
1,0,40,40,90,180,152
1,0,40,60,0,179,153
1,0,40,60,20,180,150
1,0,40,60,40,178,155
1,0,40,60,60,176,153
1,0,40,60,80,180,155
1,0,40,60,90,179,152
1,0,40,80,0,179,152
1,0,40,80,20,181,153
1,0,40,80,40,191,153
1,0,40,80,60,180,155
1,0,40,80,80,180,155
1,0,40,80,90,179,152
1,0,40,90,0,181,153
1,0,40,90,20,178,163
1,0,40,90,40,180,158
1,0,40,90,60,183,160
1,0,40,90,80,177,156
1,0,40,90,90,189,153
1,0,60,0,0,200,154
1,0,60,0,20,191,153
1,0,60,0,40,190,151
1,0,60,0,60,192,154
1,0,60,0,80,194,156
1,0,60,0,90,193,160
1,0,60,20,0,191,154
1,0,60,20,20,194,152
1,0,60,20,40,191,151
1,0,60,20,60,192,155
1,0,60,20,80,193,155
1,0,60,20,90,192,156
1,0,60,40,0,194,156
1,0,60,40,20,194,154
1,0,60,40,40,192,155
1,0,60,40,60,192,151
1,0,60,40,80,194,151
1,0,60,40,90,196,153
1,0,60,60,0,191,160
1,0,60,60,20,190,154
1,0,60,60,40,192,156
1,0,60,60,60,191,157
1,0,60,60,80,184,156
1,0,60,60,90,190,156
1,0,60,80,0,190,153
1,0,60,80,20,185,157
1,0,60,80,40,193,156
1,0,60,80,60,191,154
1,0,60,80,80,192,153
1,0,60,80,90,185,151
1,0,60,90,0,192,154
1,0,60,90,20,193,155
1,0,60,90,40,192,155
1,0,60,90,60,190,154
1,0,60,90,80,190,153
1,0,60,90,90,192,152
1,0,80,0,0,193,151
1,0,80,0,20,180,152
1,0,80,0,40,191,154
1,0,80,0,60,192,153
1,0,80,0,80,190,153
1,0,80,0,90,187,153
1,0,80,20,0,193,155
1,0,80,20,20,182,150
1,0,80,20,40,193,150
1,0,80,20,60,193,156
1,0,80,20,80,189,155
1,0,80,20,90,192,156
1,0,80,40,0,193,157
1,0,80,40,20,183,160
1,0,80,40,40,192,160
1,0,80,40,60,191,155
1,0,80,40,80,185,163
1,0,80,40,90,189,158
1,0,80,60,0,193,153
1,0,80,60,20,192,153
1,0,80,60,40,192,154
1,0,80,60,60,191,152
1,0,80,60,80,191,152
1,0,80,60,90,191,154
1,0,80,80,0,187,157
1,0,80,80,20,192,154
1,0,80,80,40,192,153
1,0,80,80,60,189,156
1,0,80,80,80,178,154
1,0,80,80,90,188,150
1,0,80,90,0,193,158
1,0,80,90,20,192,154
1,0,80,90,40,190,150
1,0,80,90,60,180,153
1,0,80,90,80,192,152
1,0,80,90,90,193,154
1,0,90,0,0,188,155
1,0,90,0,20,192,151
1,0,90,0,40,180,156
1,0,90,0,60,191,154
1,0,90,0,80,186,155
1,0,90,0,90,191,152
1,0,90,20,0,190,153
1,0,90,20,20,182,154
1,0,90,20,40,191,154
1,0,90,20,60,193,158
1,0,90,20,80,184,155
1,0,90,20,90,179,153
1,0,90,40,0,191,152
1,0,90,40,20,183,156
1,0,90,40,40,193,155
1,0,90,40,60,184,153
1,0,90,40,80,182,155
1,0,90,40,90,187,154
1,0,90,60,0,179,157
1,0,90,60,20,195,153
1,0,90,60,40,193,154
1,0,90,60,60,192,154
1,0,90,60,80,181,151
1,0,90,60,90,193,154
1,0,90,80,0,189,154
1,0,90,80,20,191,150
1,0,90,80,40,192,154
1,0,90,80,60,190,151
1,0,90,80,80,162,153
1,0,90,80,90,188,151
1,0,90,90,0,180,152
1,0,90,90,20,187,152
1,0,90,90,40,194,152
1,0,90,90,60,194,157
1,0,90,90,80,192,152
1,0,90,90,90,194,153
1,20,0,0,0,175,154
1,20,0,0,20,172,152
1,20,0,0,40,172,154
1,20,0,0,60,175,155
1,20,0,0,80,167,159
1,20,0,0,90,174,154
1,20,0,20,0,172,152
1,20,0,20,20,172,153
1,20,0,20,40,174,152
1,20,0,20,60,177,154
1,20,0,20,80,172,156
1,20,0,20,90,172,151
1,20,0,40,0,173,152
1,20,0,40,20,174,158
1,20,0,40,40,175,157
1,20,0,40,60,172,152
1,20,0,40,80,182,152
1,20,0,40,90,177,156
1,20,0,60,0,175,155
1,20,0,60,20,175,153
1,20,0,60,40,176,153
1,20,0,60,60,172,155
