Value,Iteration,Seed,Scheduler
26800,1,0,1D
26800,2,0,1D
26800,3,0,1D
26800,4,0,1D
26800,5,0,1D
26800,6,0,1D
26800,7,0,1D
26800,8,0,1D
26800,9,0,1D
27315,10,0,1D
27315,11,0,1D
27315,12,0,1D
27315,13,0,1D
27315,14,0,1D
26800,15,0,1D
26800,16,0,1D
26800,17,0,1D
26800,18,0,1D
26800,19,0,1D
27320,20,0,1D
27320,21,0,1D
27320,22,0,1D
27320,23,0,1D
27320,24,0,1D
26800,25,0,1D
26800,26,0,1D
26800,27,0,1D
26800,28,0,1D
26800,29,0,1D
27188,30,0,1D
27188,31,0,1D
27188,32,0,1D
27188,33,0,1D
27188,34,0,1D
26800,35,0,1D
26800,36,0,1D
26800,37,0,1D
26800,38,0,1D
26800,39,0,1D
27265,40,0,1D
27265,41,0,1D
27265,42,0,1D
27265,43,0,1D
27265,44,0,1D
26800,45,0,1D
26800,46,0,1D
26800,47,0,1D
26800,48,0,1D
26800,49,0,1D
27523,50,0,1D
27523,51,0,1D
27523,52,0,1D
27523,53,0,1D
27523,54,0,1D
26800,55,0,1D
26800,56,0,1D
26800,57,0,1D
26800,58,0,1D
26800,59,0,1D
27180,60,0,1D
27180,61,0,1D
27180,62,0,1D
27180,63,0,1D
27180,64,0,1D
26800,65,0,1D
26800,66,0,1D
26800,67,0,1D
26800,68,0,1D
26800,69,0,1D
27220,70,0,1D
27220,71,0,1D
27220,72,0,1D
27220,73,0,1D
27220,74,0,1D
26800,75,0,1D
26800,76,0,1D
26800,77,0,1D
26800,78,0,1D
26800,79,0,1D
27296,80,0,1D
27296,81,0,1D
27296,82,0,1D
27296,83,0,1D
27296,84,0,1D
26800,85,0,1D
26800,86,0,1D
26800,87,0,1D
26800,88,0,1D
26800,89,0,1D
27353,90,0,1D
27353,91,0,1D
27353,92,0,1D
27353,93,0,1D
27353,94,0,1D
26800,95,0,1D
26800,96,0,1D
26800,97,0,1D
26800,98,0,1D
26800,99,0,1D
27109,100,0,1D
27109,101,0,1D
27109,102,0,1D
27109,103,0,1D
27109,104,0,1D
26800,105,0,1D
26800,106,0,1D
26800,107,0,1D
26800,108,0,1D
26800,109,0,1D
27321,110,0,1D
27321,111,0,1D
27321,112,0,1D
27321,113,0,1D
27321,114,0,1D
26800,115,0,1D
26800,116,0,1D
26800,117,0,1D
26800,118,0,1D
26800,119,0,1D
27331,120,0,1D
27331,121,0,1D
27331,122,0,1D
27331,123,0,1D
27331,124,0,1D
26800,125,0,1D
26800,126,0,1D
26800,127,0,1D
26800,128,0,1D
26800,129,0,1D
27120,130,0,1D
27120,131,0,1D
27120,132,0,1D
27120,133,0,1D
27120,134,0,1D
26800,135,0,1D
26800,136,0,1D
26800,137,0,1D
26800,138,0,1D
26800,139,0,1D
27522,140,0,1D
27522,141,0,1D
27522,142,0,1D
27522,143,0,1D
27522,144,0,1D
26800,145,0,1D
26800,146,0,1D
26800,147,0,1D
26800,148,0,1D
26800,149,0,1D
27290,150,0,1D
27290,151,0,1D
27290,152,0,1D
27290,153,0,1D
27290,154,0,1D
26800,155,0,1D
26800,156,0,1D
26800,157,0,1D
26800,158,0,1D
26800,159,0,1D
27339,160,0,1D
27339,161,0,1D
27339,162,0,1D
27339,163,0,1D
27339,164,0,1D
26800,165,0,1D
26800,166,0,1D
26800,167,0,1D
26800,168,0,1D
26800,169,0,1D
27468,170,0,1D
27468,171,0,1D
27468,172,0,1D
27468,173,0,1D
27468,174,0,1D
26800,175,0,1D
26800,176,0,1D
26800,177,0,1D
26800,178,0,1D
26800,179,0,1D
27180,180,0,1D
27180,181,0,1D
27180,182,0,1D
27180,183,0,1D
27180,184,0,1D
26800,185,0,1D
26800,186,0,1D
26800,187,0,1D
26800,188,0,1D
26800,189,0,1D
27140,190,0,1D
27140,191,0,1D
27140,192,0,1D
27140,193,0,1D
27140,194,0,1D
26800,195,0,1D
26800,196,0,1D
26800,197,0,1D
26800,198,0,1D
26800,199,0,1D
27334,200,0,1D
26800,1,0,4D
26800,2,0,4D
26800,3,0,4D
26800,4,0,4D
26800,5,0,4D
26800,6,0,4D
26800,7,0,4D
26800,8,0,4D
26800,9,0,4D
27300,10,0,4D
27300,11,0,4D
27300,12,0,4D
27300,13,0,4D
27300,14,0,4D
26800,15,0,4D
26800,16,0,4D
26800,17,0,4D
26800,18,0,4D
26800,19,0,4D
27318,20,0,4D
27318,21,0,4D
27318,22,0,4D
27318,23,0,4D
27318,24,0,4D
26800,25,0,4D
26800,26,0,4D
26800,27,0,4D
26800,28,0,4D
26800,29,0,4D
27194,30,0,4D
27194,31,0,4D
27194,32,0,4D
27194,33,0,4D
27194,34,0,4D
26800,35,0,4D
26800,36,0,4D
26800,37,0,4D
26800,38,0,4D
26800,39,0,4D
27261,40,0,4D
27261,41,0,4D
27261,42,0,4D
27261,43,0,4D
27261,44,0,4D
26800,45,0,4D
26800,46,0,4D
26800,47,0,4D
26800,48,0,4D
26800,49,0,4D
27448,50,0,4D
27448,51,0,4D
27448,52,0,4D
27448,53,0,4D
27448,54,0,4D
26800,55,0,4D
26800,56,0,4D
26800,57,0,4D
26800,58,0,4D
26800,59,0,4D
27141,60,0,4D
27141,61,0,4D
27141,62,0,4D
27141,63,0,4D
27141,64,0,4D
26800,65,0,4D
26800,66,0,4D
26800,67,0,4D
26800,68,0,4D
26800,69,0,4D
27240,70,0,4D
27240,71,0,4D
27240,72,0,4D
27240,73,0,4D
27240,74,0,4D
26800,75,0,4D
26800,76,0,4D
26800,77,0,4D
26800,78,0,4D
26800,79,0,4D
27311,80,0,4D
27311,81,0,4D
27311,82,0,4D
27311,83,0,4D
27311,84,0,4D
26800,85,0,4D
26800,86,0,4D
26800,87,0,4D
26800,88,0,4D
26800,89,0,4D
27286,90,0,4D
27286,91,0,4D
27286,92,0,4D
27286,93,0,4D
27286,94,0,4D
26800,95,0,4D
26800,96,0,4D
26800,97,0,4D
26800,98,0,4D
26800,99,0,4D
27216,100,0,4D
27216,101,0,4D
27216,102,0,4D
27216,103,0,4D
27216,104,0,4D
26800,105,0,4D
26800,106,0,4D
26800,107,0,4D
26800,108,0,4D
26800,109,0,4D
27372,110,0,4D
27372,111,0,4D
27372,112,0,4D
27372,113,0,4D
27372,114,0,4D
26800,115,0,4D
26800,116,0,4D
26800,117,0,4D
26800,118,0,4D
26800,119,0,4D
27349,120,0,4D
27349,121,0,4D
27349,122,0,4D
27349,123,0,4D
27349,124,0,4D
26800,125,0,4D
26800,126,0,4D
26800,127,0,4D
26800,128,0,4D
26800,129,0,4D
27081,130,0,4D
27081,131,0,4D
27081,132,0,4D
27081,133,0,4D
27081,134,0,4D
26800,135,0,4D
26800,136,0,4D
26800,137,0,4D
26800,138,0,4D
26800,139,0,4D
27519,140,0,4D
27519,141,0,4D
27519,142,0,4D
27519,143,0,4D
27519,144,0,4D
26800,145,0,4D
26800,146,0,4D
26800,147,0,4D
26800,148,0,4D
26800,149,0,4D
27235,150,0,4D
27235,151,0,4D
27235,152,0,4D
27235,153,0,4D
27235,154,0,4D
26800,155,0,4D
26800,156,0,4D
26800,157,0,4D
26800,158,0,4D
26800,159,0,4D
27303,160,0,4D
27303,161,0,4D
27303,162,0,4D
27303,163,0,4D
27303,164,0,4D
26800,165,0,4D
26800,166,0,4D
26800,167,0,4D
26800,168,0,4D
26800,169,0,4D
27498,170,0,4D
27498,171,0,4D
27498,172,0,4D
27498,173,0,4D
27498,174,0,4D
26800,175,0,4D
26800,176,0,4D
26800,177,0,4D
26800,178,0,4D
26800,179,0,4D
27020,180,0,4D
27020,181,0,4D
27020,182,0,4D
27020,183,0,4D
27020,184,0,4D
26800,185,0,4D
26800,186,0,4D
26800,187,0,4D
26800,188,0,4D
26800,189,0,4D
27143,190,0,4D
27143,191,0,4D
27143,192,0,4D
27143,193,0,4D
27143,194,0,4D
26800,195,0,4D
26800,196,0,4D
26800,197,0,4D
26800,198,0,4D
26800,199,0,4D
27324,200,0,4D
26946,1,0,Defult
26946,2,0,Defult
27273,3,0,Defult
27273,4,0,Defult
27315,5,0,Defult
27212,6,0,Defult
27264,7,0,Defult
27074,8,0,Defult
27210,9,0,Defult
27267,10,0,Defult
27416,11,0,Defult
27519,12,0,Defult
27423,13,0,Defult
27336,14,0,Defult
27315,15,0,Defult
27181,16,0,Defult
27121,17,0,Defult
27173,18,0,Defult
27168,19,0,Defult
27229,20,0,Defult
27299,21,0,Defult
27204,22,0,Defult
27153,23,0,Defult
27158,24,0,Defult
27067,25,0,Defult
26985,26,0,Defult
27086,27,0,Defult
27196,28,0,Defult
27195,29,0,Defult
27321,30,0,Defult
27319,31,0,Defult
27311,32,0,Defult
27256,33,0,Defult
27346,34,0,Defult
27336,35,0,Defult
