Time_Step,Energy_Consumed
1,60400
2,60400
3,60400
4,60400
5,60400
6,60400
7,60400
8,60400
9,60400
10,60843
11,60843
12,60843
13,60843
14,60843
15,60400
16,60400
17,60400
18,60400
19,60400
20,60870
21,60870
22,60870
23,60870
24,60870
25,60400
26,60400
27,60400
28,60400
29,60400
30,61194
31,61194
32,61194
33,61194
34,61194
35,60400
36,60400
37,60400
38,60400
39,60400
40,60994
41,60994
42,60994
43,60994
44,60994
45,60400
46,60400
47,60400
48,60400
49,60400
50,60810
51,60810
52,60810
53,60810
54,60810
55,60400
56,60400
57,60400
58,60400
59,60400
60,60988
61,60988
62,60988
63,60988
64,60988
65,60400
66,60400
67,60400
68,60400
69,60400
70,60989
71,60989
72,60989
73,60989
74,60989
75,60400
76,60400
77,60400
78,60400
79,60400
80,60865
81,60865
82,60865
83,60865
84,60865
85,60400
86,60400
87,60400
88,60400
89,60400
90,60817
91,60817
92,60817
93,60817
94,60817
95,60400
96,60400
97,60400
98,60400
99,60400
100,61046
101,61046
102,61046
103,61046
104,61046
105,60400
106,60400
107,60400
108,60400
109,60400
110,60883
111,60883
112,60883
113,60883
114,60883
115,60400
116,60400
117,60400
118,60400
119,60400
120,60885
121,60885
122,60885
123,60885
124,60885
125,60400
126,60400
127,60400
128,60400
129,60400
130,60821
131,60821
132,60821
133,60821
134,60821
135,60400
136,60400
137,60400
138,60400
139,60400
140,60989
141,60989
142,60989
143,60989
144,60989
145,60400
146,60400
147,60400
148,60400
149,60400
150,60948
151,60948
152,60948
153,60948
154,60948
155,60400
156,60400
157,60400
158,60400
159,60400
160,60878
161,60878
162,60878
163,60878
164,60878
165,60400
166,60400
167,60400
168,60400
169,60400
170,60897
171,60897
172,60897
173,60897
174,60897
175,60400
176,60400
177,60400
178,60400
179,60400
180,60845
181,60845
182,60845
183,60845
184,60845
185,60400
186,60400
187,60400
188,60400
189,60400
190,60867
191,60867
192,60867
193,60867
194,60867
195,60400
196,60400
197,60400
198,60400
199,60400
200,60981
