Time_Step,Energy_Consumed
1,60542
2,60724
3,60773
4,60904
5,61082
6,60993
7,60999
8,61056
9,60925
10,60834
11,60811
12,60672
13,60669
14,60669
15,60642
16,60661
17,60755
18,60698
19,60741
20,60776
21,60856
22,60757
23,60858
24,60905
25,60979
26,60988
27,61042
28,60895
29,60912
30,60845
31,60848
32,60750
33,61022
34,60915
35,60881
36,60834
37,60874
38,60602
39,60602
40,60575
41,60838
42,60798
43,60893
44,61041
45,61132
46,60775
47,60821
48,60775
49,60715
50,60713
51,60868
52,60881
53,60832
54,60874
55,60849
56,60837
57,60778
58,61009
59,60978
60,60916
61,60859
62,60950
63,60813
64,60813
65,61016
66,61085
67,61107
68,61167
69,61138
70,61032
71,60926
72,60945
73,60890
74,60820
75,60816
76,60903
77,60816
78,60806
79,61042
80,60978
81,60926
82,60927
83,60930
84,60899
85,61002
86,60918
87,60970
88,61066
89,61001
90,60958
91,61095
92,61115
93,60973
94,61016
95,60932
96,61019
97,61036
98,61034
99,60990
100,61133
101,60909
102,60814
103,60990
104,60953
105,60815
106,60815
107,61007
108,60787
109,60725
110,60806
111,60855
112,60772
113,60877
114,60884
115,60864
116,60903
117,60802
118,60740
119,60742
120,60720
121,60632
122,60633
123,60685
124,60867
125,60775
126,60859
127,60951
128,60981
129,60798
130,60895
131,60811
132,60728
133,60985
134,61092
135,61044
136,61241
137,61280
138,60997
139,60893
140,60991
141,60883
142,60879
143,60780
144,60729
145,60628
146,60737
147,60829
148,60922
149,61005
150,61012
151,61059
152,61056
153,61007
154,61016
155,61011
156,60766
157,60685
158,60690
159,60741
160,60829
161,60878
162,60862
163,60898
164,60889
165,60797
166,60794
167,60767
168,60889
169,60933
170,60932
171,60979
172,61114
173,61009
174,61072
175,61178
176,61128
177,60935
178,60926
179,60685
180,60579
181,60585
182,60681
183,60679
184,60769
185,60817
186,60901
187,60805
188,60714
189,60673
190,60631
191,60498
192,60621
193,60670
194,60752
195,60797
196,61039
197,60959
198,61048
199,61169
200,61075
