Value,Iteration,Seed,Scheduler
3,1,18,1D
5,2,18,1D
7,3,18,1D
9,4,18,1D
9,5,18,1D
11,6,18,1D
15,7,18,1D
17,8,18,1D
18,9,18,1D
0,10,18,1D
4,11,18,1D
6,12,18,1D
8,13,18,1D
10,14,18,1D
13,15,18,1D
18,16,18,1D
19,17,18,1D
22,18,18,1D
24,19,18,1D
0,20,18,1D
0,21,18,1D
1,22,18,1D
2,23,18,1D
2,24,18,1D
4,25,18,1D
5,26,18,1D
7,27,18,1D
11,28,18,1D
12,29,18,1D
0,30,18,1D
3,31,18,1D
4,32,18,1D
7,33,18,1D
7,34,18,1D
12,35,18,1D
14,36,18,1D
16,37,18,1D
18,38,18,1D
21,39,18,1D
0,40,18,1D
2,41,18,1D
4,42,18,1D
7,43,18,1D
8,44,18,1D
9,45,18,1D
10,46,18,1D
10,47,18,1D
13,48,18,1D
14,49,18,1D
0,50,18,1D
1,51,18,1D
2,52,18,1D
2,53,18,1D
6,54,18,1D
7,55,18,1D
7,56,18,1D
7,57,18,1D
10,58,18,1D
13,59,18,1D
0,60,18,1D
0,61,18,1D
3,62,18,1D
7,63,18,1D
9,64,18,1D
14,65,18,1D
20,66,18,1D
24,67,18,1D
25,68,18,1D
27,69,18,1D
0,70,18,1D
1,71,18,1D
3,72,18,1D
8,73,18,1D
10,74,18,1D
14,75,18,1D
16,76,18,1D
17,77,18,1D
20,78,18,1D
22,79,18,1D
0,80,18,1D
4,81,18,1D
4,82,18,1D
5,83,18,1D
6,84,18,1D
7,85,18,1D
10,86,18,1D
13,87,18,1D
14,88,18,1D
14,89,18,1D
0,90,18,1D
1,91,18,1D
2,92,18,1D
3,93,18,1D
6,94,18,1D
9,95,18,1D
10,96,18,1D
10,97,18,1D
12,98,18,1D
16,99,18,1D
0,100,18,1D
2,101,18,1D
2,102,18,1D
2,103,18,1D
5,104,18,1D
7,105,18,1D
8,106,18,1D
11,107,18,1D
15,108,18,1D
16,109,18,1D
0,110,18,1D
2,111,18,1D
2,112,18,1D
6,113,18,1D
8,114,18,1D
11,115,18,1D
11,116,18,1D
13,117,18,1D
15,118,18,1D
16,119,18,1D
0,120,18,1D
3,121,18,1D
4,122,18,1D
7,123,18,1D
7,124,18,1D
12,125,18,1D
14,126,18,1D
14,127,18,1D
15,128,18,1D
16,129,18,1D
0,130,18,1D
2,131,18,1D
3,132,18,1D
5,133,18,1D
9,134,18,1D
14,135,18,1D
17,136,18,1D
18,137,18,1D
18,138,18,1D
21,139,18,1D
0,140,18,1D
0,141,18,1D
3,142,18,1D
6,143,18,1D
8,144,18,1D
9,145,18,1D
9,146,18,1D
12,147,18,1D
13,148,18,1D
16,149,18,1D
0,150,18,1D
1,151,18,1D
2,152,18,1D
3,153,18,1D
3,154,18,1D
8,155,18,1D
8,156,18,1D
9,157,18,1D
15,158,18,1D
15,159,18,1D
0,160,18,1D
2,161,18,1D
4,162,18,1D
5,163,18,1D
7,164,18,1D
8,165,18,1D
11,166,18,1D
12,167,18,1D
15,168,18,1D
18,169,18,1D
0,170,18,1D
2,171,18,1D
3,172,18,1D
6,173,18,1D
6,174,18,1D
9,175,18,1D
11,176,18,1D
12,177,18,1D
13,178,18,1D
14,179,18,1D
0,180,18,1D
2,181,18,1D
4,182,18,1D
5,183,18,1D
8,184,18,1D
8,185,18,1D
10,186,18,1D
10,187,18,1D
11,188,18,1D
11,189,18,1D
0,190,18,1D
2,191,18,1D
7,192,18,1D
9,193,18,1D
13,194,18,1D
15,195,18,1D
20,196,18,1D
22,197,18,1D
23,198,18,1D
24,199,18,1D
0,200,18,1D
3,1,18,4D
5,2,18,4D
7,3,18,4D
9,4,18,4D
9,5,18,4D
11,6,18,4D
15,7,18,4D
17,8,18,4D
18,9,18,4D
0,10,18,4D
4,11,18,4D
6,12,18,4D
8,13,18,4D
10,14,18,4D
13,15,18,4D
18,16,18,4D
19,17,18,4D
22,18,18,4D
24,19,18,4D
0,20,18,4D
0,21,18,4D
1,22,18,4D
2,23,18,4D
2,24,18,4D
4,25,18,4D
5,26,18,4D
7,27,18,4D
11,28,18,4D
12,29,18,4D
0,30,18,4D
3,31,18,4D
4,32,18,4D
7,33,18,4D
7,34,18,4D
12,35,18,4D
14,36,18,4D
16,37,18,4D
18,38,18,4D
21,39,18,4D
0,40,18,4D
2,41,18,4D
4,42,18,4D
7,43,18,4D
8,44,18,4D
9,45,18,4D
10,46,18,4D
10,47,18,4D
13,48,18,4D
14,49,18,4D
0,50,18,4D
1,51,18,4D
2,52,18,4D
2,53,18,4D
6,54,18,4D
7,55,18,4D
7,56,18,4D
7,57,18,4D
10,58,18,4D
13,59,18,4D
0,60,18,4D
0,61,18,4D
3,62,18,4D
7,63,18,4D
9,64,18,4D
14,65,18,4D
20,66,18,4D
24,67,18,4D
25,68,18,4D
27,69,18,4D
0,70,18,4D
1,71,18,4D
3,72,18,4D
8,73,18,4D
10,74,18,4D
14,75,18,4D
16,76,18,4D
17,77,18,4D
20,78,18,4D
22,79,18,4D
0,80,18,4D
4,81,18,4D
4,82,18,4D
5,83,18,4D
6,84,18,4D
7,85,18,4D
10,86,18,4D
13,87,18,4D
14,88,18,4D
14,89,18,4D
0,90,18,4D
1,91,18,4D
2,92,18,4D
3,93,18,4D
6,94,18,4D
9,95,18,4D
10,96,18,4D
10,97,18,4D
12,98,18,4D
16,99,18,4D
0,100,18,4D
2,101,18,4D
2,102,18,4D
2,103,18,4D
5,104,18,4D
7,105,18,4D
8,106,18,4D
11,107,18,4D
15,108,18,4D
16,109,18,4D
0,110,18,4D
2,111,18,4D
2,112,18,4D
6,113,18,4D
8,114,18,4D
11,115,18,4D
11,116,18,4D
13,117,18,4D
15,118,18,4D
16,119,18,4D
0,120,18,4D
3,121,18,4D
4,122,18,4D
7,123,18,4D
7,124,18,4D
12,125,18,4D
14,126,18,4D
14,127,18,4D
15,128,18,4D
16,129,18,4D
0,130,18,4D
2,131,18,4D
3,132,18,4D
5,133,18,4D
9,134,18,4D
14,135,18,4D
17,136,18,4D
18,137,18,4D
18,138,18,4D
21,139,18,4D
0,140,18,4D
0,141,18,4D
3,142,18,4D
6,143,18,4D
8,144,18,4D
9,145,18,4D
9,146,18,4D
12,147,18,4D
13,148,18,4D
16,149,18,4D
0,150,18,4D
1,151,18,4D
2,152,18,4D
3,153,18,4D
3,154,18,4D
8,155,18,4D
8,156,18,4D
9,157,18,4D
15,158,18,4D
15,159,18,4D
0,160,18,4D
2,161,18,4D
4,162,18,4D
5,163,18,4D
7,164,18,4D
8,165,18,4D
11,166,18,4D
12,167,18,4D
15,168,18,4D
18,169,18,4D
0,170,18,4D
2,171,18,4D
3,172,18,4D
6,173,18,4D
6,174,18,4D
9,175,18,4D
11,176,18,4D
12,177,18,4D
13,178,18,4D
14,179,18,4D
0,180,18,4D
2,181,18,4D
4,182,18,4D
5,183,18,4D
8,184,18,4D
8,185,18,4D
10,186,18,4D
10,187,18,4D
11,188,18,4D
11,189,18,4D
0,190,18,4D
2,191,18,4D
7,192,18,4D
9,193,18,4D
13,194,18,4D
